"run","KPI","pooled","separate","difference"
67,"Avg_Waiting_room_delay",0.04442439283324,0.0595830838311766,-0.0151586909979366
67,"Avg_Access_time_days",1.22018348623853,2.35596330275229,-1.13577981651376
67,"Fraction_overtime",0.0036697247706422,0.0073394495412844,-0.0036697247706422
67,"Avg_Overtime_amount",0.000492586499493595,0.00098496166727024,-0.000492375167776646
68,"Avg_Waiting_room_delay",0.045501076189136,0.085821247000227,-0.040320170811091
68,"Avg_Access_time_days",1.12454873646209,3,-1.87545126353791
68,"Fraction_overtime",0,0.0072202166064982,-0.0072202166064982
68,"Avg_Overtime_amount",0,0.00180944694840325,-0.00180944694840325
69,"Avg_Waiting_room_delay",0.0301445404796655,0.0460520196972189,-0.0159074792175534
69,"Avg_Access_time_days",1.03063063063063,2.28288288288288,-1.25225225225225
69,"Fraction_overtime",0.0018018018018018,0.0036036036036036,-0.0018018018018018
69,"Avg_Overtime_amount",0.000281645841865965,0.000606335645746847,-0.000324689803880881
70,"Avg_Waiting_room_delay",0.0341291677894723,0.0516821602217513,-0.017552992432279
70,"Avg_Access_time_days",1.07781456953642,2.97516556291391,-1.89735099337748
70,"Fraction_overtime",0.0033112582781457,0.00165562913907285,0.00165562913907285
70,"Avg_Overtime_amount",0.000377187148851206,0.000928428765452292,-0.000551241616601086
71,"Avg_Waiting_room_delay",0.0379619144801591,0.0609279504194408,-0.0229660359392816
71,"Avg_Access_time_days",1.21651376146789,2.52844036697248,-1.31192660550459
71,"Fraction_overtime",0,0.0018348623853211,-0.0018348623853211
71,"Avg_Overtime_amount",0,0.000638191799342111,-0.000638191799342111
72,"Avg_Waiting_room_delay",0.0452235296301239,0.0717324287116495,-0.0265088990815256
72,"Avg_Access_time_days",1.08127208480565,2.37809187279152,-1.29681978798587
72,"Fraction_overtime",0.00353356890459364,0.00353356890459364,0
72,"Avg_Overtime_amount",0.000972288754876664,0.000950985461368011,2.13032935086533e-05
73,"Avg_Waiting_room_delay",0.0316702968227887,0.0705557221519428,-0.0388854253291541
73,"Avg_Access_time_days",1.1986301369863,2.73116438356164,-1.53253424657534
73,"Fraction_overtime",0.00171232876712329,0,0.00171232876712329
73,"Avg_Overtime_amount",4.56159575452794e-05,0,4.56159575452794e-05
74,"Avg_Waiting_room_delay",0.0341000158032993,0.0616260881250621,-0.0275260723217628
74,"Avg_Access_time_days",1.12136752136752,2.80683760683761,-1.68547008547009
74,"Fraction_overtime",0.00170940170940171,0.00170940170940171,0
74,"Avg_Overtime_amount",0.00122729448870737,0.00011567714314503,0.00111161734556234
75,"Avg_Waiting_room_delay",0.0307260216705688,0.0749637513660547,-0.0442377296954859
75,"Avg_Access_time_days",1.1486013986014,2.22377622377622,-1.07517482517483
75,"Fraction_overtime",0.0034965034965035,0.0034965034965035,0
75,"Avg_Overtime_amount",0.000540408040955806,0.00135367854923268,-0.000813270508276872
76,"Avg_Waiting_room_delay",0.0491443746642483,0.0589544073157253,-0.00981003265147701
76,"Avg_Access_time_days",1.08768656716418,2.13432835820896,-1.04664179104478
76,"Fraction_overtime",0.00186567164179104,0.00186567164179104,0
76,"Avg_Overtime_amount",0.000797577292550078,0.000168404282876257,0.000629173009673822
77,"Avg_Waiting_room_delay",0.0455278397179634,0.0537893607232421,-0.00826152100527864
77,"Avg_Access_time_days",1.25912408759124,2.71167883211679,-1.45255474452555
77,"Fraction_overtime",0.00547445255474453,0.00547445255474453,0
77,"Avg_Overtime_amount",0.000457053060144244,0.000845278584367478,-0.000388225524223235
78,"Avg_Waiting_room_delay",0.0379632819358707,0.0497079245287992,-0.0117446425929284
78,"Avg_Access_time_days",1.15666666666667,3.05833333333333,-1.90166666666667
78,"Fraction_overtime",0.00166666666666667,0.005,-0.00333333333333333
78,"Avg_Overtime_amount",0.000163589203689482,0.00112215225846034,-0.000958563054770861
79,"Avg_Waiting_room_delay",0.0418436270412222,0.0488968359807044,-0.00705320893948219
79,"Avg_Access_time_days",1.11578947368421,2.99824561403509,-1.88245614035088
79,"Fraction_overtime",0.00175438596491228,0.00175438596491228,0
79,"Avg_Overtime_amount",0.000549007122103219,0.00033008215397536,0.000218924968127859
80,"Avg_Waiting_room_delay",0.0525826749522326,0.0814157774326204,-0.0288331024803877
80,"Avg_Access_time_days",1.04332129963899,1.97472924187726,-0.931407942238267
80,"Fraction_overtime",0,0.00902527075812274,-0.00902527075812274
80,"Avg_Overtime_amount",0,0.00351325926910201,-0.00351325926910201
81,"Avg_Waiting_room_delay",0.0530636440948546,0.0514119440585895,0.0016517000362651
81,"Avg_Access_time_days",1.09172661870504,2.7841726618705,-1.69244604316547
81,"Fraction_overtime",0.00179856115107914,0.00539568345323741,-0.00359712230215827
81,"Avg_Overtime_amount",0.000111965426072075,0.00134470030938657,-0.00123273488331449
82,"Avg_Waiting_room_delay",0.0441789352469448,0.0536298024568209,-0.0094508672098761
82,"Avg_Access_time_days",1.22075782537068,3.33772652388797,-2.1169686985173
82,"Fraction_overtime",0.00329489291598023,0.00164744645799012,0.00164744645799012
82,"Avg_Overtime_amount",0.000367305469573431,2.86826490543215e-05,0.00033862282051911
83,"Avg_Waiting_room_delay",0.0384359486251804,0.0521095071596074,-0.013673558534427
83,"Avg_Access_time_days",1.20738137082601,2.53602811950791,-1.3286467486819
83,"Fraction_overtime",0.00175746924428822,0.00351493848857645,-0.00175746924428822
83,"Avg_Overtime_amount",0.000496173928799769,0.00127078151264475,-0.000774607583844984
84,"Avg_Waiting_room_delay",0.0383076764124739,0.0703157300289821,-0.0320080536165081
84,"Avg_Access_time_days",1.05935251798561,2.01618705035971,-0.956834532374101
84,"Fraction_overtime",0,0,0
84,"Avg_Overtime_amount",0,0,0
85,"Avg_Waiting_room_delay",0.0468885330537087,0.0502547014644483,-0.00336616841073969
85,"Avg_Access_time_days",1.1214953271028,2.40934579439252,-1.28785046728972
85,"Fraction_overtime",0.00373831775700935,0.011214953271028,-0.00747663551401869
85,"Avg_Overtime_amount",0.000706084555612456,0.00162804306610543,-0.000921958510492971
86,"Avg_Waiting_room_delay",0.0549546015585938,0.0698006135985855,-0.0148460120399917
86,"Avg_Access_time_days",1.09040590405904,2.31549815498155,-1.22509225092251
86,"Fraction_overtime",0.00553505535055351,0.003690036900369,0.0018450184501845
86,"Avg_Overtime_amount",0.0024124798814196,0.00110505569667243,0.00130742418474717
87,"Avg_Waiting_room_delay",0.0440797434694006,0.0644109983953989,-0.0203312549259983
87,"Avg_Access_time_days",1.07956600361664,1.90415913200723,-0.824593128390597
87,"Fraction_overtime",0,0.00180831826401447,-0.00180831826401447
87,"Avg_Overtime_amount",0,0.000266996849169112,-0.000266996849169112
88,"Avg_Waiting_room_delay",0.0338031089010864,0.0613370901134858,-0.0275339812123994
88,"Avg_Access_time_days",1.13320825515947,1.97373358348968,-0.840525328330206
88,"Fraction_overtime",0.00375234521575985,0.00187617260787992,0.00187617260787992
